G7 Ballistic Coefficients,,,,,,,, ,,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data.",,,,,,,,"Every attempt has been made to insure the correctness of this data.  However, no warrenty is expressed or implied as to its usefulness or accuracy.  For critical use consult the manufacture for the latest data."
This data was obtained from various sources and every effort has been made to ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"insure its accuracy, but I am not responsible for any errors or omissions.  If you find any errors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
please contact me at frfrog@centurylink.net and I will update the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APG = Aberdeen Proving Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL = ShootingLab conversion from published G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated 201211-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFG,Diameter,Weight,Type,SD,BC (G7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APG G7,.224,55,M193,.157,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
